timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610464101801,2502,1.1 - GET - Home,200,OK,Load Test 1-9,text,true,,1549,463,11,11,https://blazedemo.com/,2501,0,2174
1610464101801,2577,1.1 - GET - Home,200,OK,Load Test 1-6,text,true,,1363,463,11,11,https://blazedemo.com/,2576,0,2177
1610464101802,2609,1.1 - GET - Home,200,OK,Load Test 1-8,text,true,,1456,463,11,11,https://blazedemo.com/,2609,0,2173
1610464101801,2617,1.1 - GET - Home,200,OK,Load Test 1-4,text,true,,1384,463,11,11,https://blazedemo.com/,2616,0,2174
1610464101801,2692,1.1 - GET - Home,200,OK,Load Test 1-3,text,true,,1461,463,11,11,https://blazedemo.com/,2691,0,2177
1610464101801,2709,1.1 - GET - Home,200,OK,Load Test 1-12,text,true,,1373,463,11,11,https://blazedemo.com/,2709,0,2174
1610464101801,2771,1.1 - GET - Home,200,OK,Load Test 1-7,text,true,,1457,463,11,11,https://blazedemo.com/,2769,0,2409
1610464104306,385,2.1 - POST - Reserve,200,OK,Load Test 1-9,text,true,,1602,528,11,11,https://blazedemo.com/reserve.php,384,0,0
1610464104379,387,2.1 - POST - Reserve,200,OK,Load Test 1-6,text,true,,1604,529,11,11,https://blazedemo.com/reserve.php,386,0,0
1610464104412,389,2.1 - POST - Reserve,200,OK,Load Test 1-8,text,true,,1614,529,11,11,https://blazedemo.com/reserve.php,387,0,0
1610464104493,372,2.1 - POST - Reserve,200,OK,Load Test 1-3,text,true,,1588,528,11,11,https://blazedemo.com/reserve.php,370,0,0
1610464104511,376,2.1 - POST - Reserve,200,OK,Load Test 1-12,text,true,,1598,532,11,11,https://blazedemo.com/reserve.php,375,0,0
1610464104572,422,2.1 - POST - Reserve,200,OK,Load Test 1-7,text,true,,1533,531,11,11,https://blazedemo.com/reserve.php,420,0,0
1610464104699,357,3.1 - POST - Purchase,200,OK,Load Test 1-9,text,true,,1807,573,11,11,https://blazedemo.com/purchase.php,357,0,0
1610464104804,386,3.1 - POST - Purchase,200,OK,Load Test 1-8,text,true,,1735,576,11,11,https://blazedemo.com/purchase.php,386,0,0
1610464104867,347,3.1 - POST - Purchase,200,OK,Load Test 1-3,text,true,,1773,573,11,11,https://blazedemo.com/purchase.php,346,0,0
1610464105056,352,4.1 - POST - Confirmation,200,OK,Load Test 1-9,text,true,,1506,722,11,11,https://blazedemo.com/confirmation.php,352,0,0
1610464105191,342,4.1 - POST - Confirmation,200,OK,Load Test 1-8,text,true,,1415,694,10,10,https://blazedemo.com/confirmation.php,342,0,0
1610464105215,522,4.1 - POST - Confirmation,200,OK,Load Test 1-3,text,true,,1464,722,9,9,https://blazedemo.com/confirmation.php,522,0,0
